Teams,League,Category,Designation,Side,Name,Points,Odds,American Odds,Key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Nick Castellanos,,9.0,+800,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Tim Anderson,,3.25,+225,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Tim Anderson,,11.0,+1000,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,1+,,Trea Turner,,1.23529412,-425,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Trea Turner,,6.5,+550,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,2+,,Whit Merrifield,,2.95,+195,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Hits Milestones,3+,,Whit Merrifield,,9.0,+800,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,over,,Alec Bohm,1.5,1.83333334,-120,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,under,,Alec Bohm,1.5,1.86956522,-115,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,over,,Brandon Marsh,1.5,2.4,+140,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,under,,Brandon Marsh,1.5,1.52631579,-190,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,over,,Bryson Stott,1.5,1.95238096,-105,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,under,,Bryson Stott,1.5,1.76923077,-130,key
MIA Marlins(away) vs PHI Phillies(home),MLB,Total Bases,over,,Garrett Stubbs,0.5,1.76923077,-130,key
