Period,GameId,Teams,League,Designation,Side,Points,Key,BO Odds,BO dec_odds,Category,Date,Name
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,over,home,1.5,s;-1;tt;1.5;home,110,2.1,team_total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,under,home,1.5,s;-1;tt;1.5;home,-140,1.71,team_total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,over,,4.5,s;-1;ou;4.5,-120,1.83,total,2024-08-12,
1st 5 Innings,490457435,NYY(away) vs CWS(home),MLB,under,,4.5,s;-1;ou;4.5,100,2.0,total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,,away,1.5,s;0;s;-1.5,-210,1.48,spread,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,,away,,s;0;m,-103,1.97,moneyline,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,over,away,4.5,s;0;tt;4.5;away,-115,1.87,team_total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,under,away,4.5,s;0;tt;4.5;away,-115,1.87,team_total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,,home,-1.5,s;0;s;-1.5,180,2.8,spread,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,,home,,s;0;m,-107,1.93,moneyline,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,over,home,4.5,s;0;tt;4.5;home,-104,1.96,team_total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,under,home,4.5,s;0;tt;4.5;home,-126,1.79,team_total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,over,,9.0,s;0;ou;9,-113,1.88,total,2024-08-12,
Game,490457436,TOR(away) vs LAA(home),MLB,under,,9.0,s;0;ou;9,-107,1.93,total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,,away,0.5,s;-1;s;-0.5,-147,1.68,spread,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,,away,,s;-1;m,-107,1.93,moneyline,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,over,away,2.5,s;-1;tt;2.5;away,120,2.2,team_total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,under,away,2.5,s;-1;tt;2.5;away,-150,1.67,team_total,2024-08-12,
1st 5 Innings,490457436,TOR(away) vs LAA(home),MLB,,home,-0.5,s;-1;s;-0.5,127,2.27,spread,2024-08-12,
