Category,Designation,Points,PN American Odds
Manny Machado (Home Runs)(must start),under,0.5,-713
Manny Machado (Total Bases)(must start),over,1.5,109
Manny Machado (Total Bases)(must start),under,1.5,-145
Andrew McCutchen (Home Runs)(must start),over,0.5,547
Andrew McCutchen (Home Runs)(must start),under,0.5,-1011
Andrew McCutchen (Total Bases)(must start),over,0.5,-207
Andrew McCutchen (Total Bases)(must start),under,0.5,149
Rowdy Tellez (Home Runs)(must start),over,0.5,776
Rowdy Tellez (Home Runs)(must start),under,0.5,-1781
Rowdy Tellez (Total Bases)(must start),over,0.5,-160
Rowdy Tellez (Total Bases)(must start),under,0.5,119
Oneil Cruz (Home Runs)(must start),over,0.5,447
Oneil Cruz (Home Runs)(must start),under,0.5,-749
Oneil Cruz (Total Bases)(must start),over,0.5,-192
Oneil Cruz (Total Bases)(must start),under,0.5,140
Bryan Reynolds (Home Runs)(must start),over,0.5,552
Bryan Reynolds (Home Runs)(must start),under,0.5,-1027
Bryan Reynolds (Total Bases)(must start),over,1.5,134
Bryan Reynolds (Total Bases)(must start),under,1.5,-183
Ke'Bryan Hayes (Home Runs)(must start),over,0.5,894
Ke'Bryan Hayes (Home Runs)(must start),under,0.5,-2282
Ke'Bryan Hayes (Total Bases)(must start),over,1.5,153
Ke'Bryan Hayes (Total Bases)(must start),under,1.5,-213
Joey Bart (Home Runs)(must start),over,0.5,564
Joey Bart (Home Runs)(must start),under,0.5,-1061
Joey Bart (Total Bases)(must start),over,0.5,-191
Joey Bart (Total Bases)(must start),under,0.5,139
Bryan De La Cruz (Home Runs)(must start),over,0.5,556
Bryan De La Cruz (Home Runs)(must start),under,0.5,-1038
Bryan De La Cruz (Total Bases)(must start),over,1.5,145
Bryan De La Cruz (Total Bases)(must start),under,1.5,-200
Ji Hwan Bae (Total Bases)(must start),over,0.5,-153
Ji Hwan Bae (Total Bases)(must start),under,0.5,114
Anthony Rendon (Home Runs)(must start),over,0.5,584
Anthony Rendon (Home Runs)(must start),under,0.5,-1121
Anthony Rendon (Total Bases)(must start),over,1.5,144
Anthony Rendon (Total Bases)(must start),under,1.5,-199
George Springer (Home Runs)(must start),over,0.5,378
George Springer (Home Runs)(must start),under,0.5,-590
George Springer (Total Bases)(must start),over,1.5,101
George Springer (Total Bases)(must start),under,1.5,-136
Brandon Drury (Home Runs)(must start),over,0.5,506
Brandon Drury (Home Runs)(must start),under,0.5,-900
Brandon Drury (Total Bases)(must start),over,0.5,-191
Brandon Drury (Total Bases)(must start),under,0.5,139
Taylor Ward (Home Runs)(must start),over,0.5,433
Taylor Ward (Home Runs)(must start),under,0.5,-715
Taylor Ward (Total Bases)(must start),over,1.5,139
Taylor Ward (Total Bases)(must start),under,1.5,-191
Willie Calhoun (Home Runs)(must start),over,0.5,513
Willie Calhoun (Home Runs)(must start),under,0.5,-918
Willie Calhoun (Total Bases)(must start),over,1.5,146
Willie Calhoun (Total Bases)(must start),under,1.5,-201
Daulton Varsho (Home Runs)(must start),over,0.5,306
Daulton Varsho (Home Runs)(must start),under,0.5,-444
Daulton Varsho (Total Bases)(must start),over,1.5,110
Daulton Varsho (Total Bases)(must start),under,1.5,-153
Vladimir Guerrero Jr. (Home Runs)(must start),over,0.5,369
Vladimir Guerrero Jr. (Home Runs)(must start),under,0.5,-1126
Vladimir Guerrero Jr. (Total Bases)(must start),over,1.5,-110
Vladimir Guerrero Jr. (Total Bases)(must start),under,1.5,-125
Mickey Moniak (Home Runs)(must start),over,0.5,361
Mickey Moniak (Home Runs)(must start),under,0.5,-554
Mickey Moniak (Total Bases)(must start),over,1.5,128
Mickey Moniak (Total Bases)(must start),under,1.5,-174
Jo Adell (Home Runs)(must start),over,0.5,420
Jo Adell (Home Runs)(must start),under,0.5,-684
Jo Adell (Total Bases)(must start),over,0.5,123
Jo Adell (Total Bases)(must start),under,0.5,-166
Davis Daniel (Total Strikeouts)(must start),over,4.5,124
Davis Daniel (Total Strikeouts)(must start),under,4.5,-185
Davis Daniel (Hits Allowed)(must start),over,5.5,101
Davis Daniel (Hits Allowed)(must start),under,5.5,-137
Davis Daniel (Earned Runs)(must start),over,2.5,-125
Davis Daniel (Earned Runs)(must start),under,2.5,-106
Bowden Francis (Total Strikeouts)(must start),over,4.5,106
Bowden Francis (Total Strikeouts)(must start),under,4.5,-154
Bowden Francis (Hits Allowed)(must start),over,4.5,-160
Bowden Francis (Hits Allowed)(must start),under,4.5,114
Bowden Francis (Earned Runs)(must start),over,2.5,-120
Bowden Francis (Earned Runs)(must start),under,2.5,-110
Alejandro Kirk (Home Runs)(must start),over,0.5,600
Alejandro Kirk (Home Runs)(must start),under,0.5,-1169
Alejandro Kirk (Total Bases)(must start),over,1.5,123
Alejandro Kirk (Total Bases)(must start),under,1.5,-166
Ernie Clement (Home Runs)(must start),over,0.5,744
Ernie Clement (Home Runs)(must start),under,0.5,-1659
Ernie Clement (Total Bases)(must start),over,1.5,132
