,Teams,League,Category,Designation,Side,Name,Points,Odds,Units
53,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 5-4,0.0,41.0,
54,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-4,0.0,51.0,
55,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 5-4,0.0,46.0,
56,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-4,0.0,61.0,
57,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 5-5,0.0,51.0,
58,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Edmonton Oilers 6-5,0.0,176.0,
59,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Florida Panthers 6-5,0.0,176.0,
60,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 6-6,0.0,126.0,
61,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Correct Score OF,,Neither,Draw 7-7,0.0,451.0,
62,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Draw No Bet OF,,Neither,Edmonton Oilers,0.0,1.6667,
63,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Draw No Bet OF,,Neither,Florida Panthers,0.0,2.15,
64,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Home,Edmonton Oilers -2,-2.0,4.75,
65,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Away,Florida Panthers +2,2.0,1.3847,
66,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Neither,Tie -2,-2.0,7.5,
67,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Home,Edmonton Oilers -1,-1.0,3.1,
68,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Away,Florida Panthers +1,1.0,1.6897,
69,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Spread (3-Way OF),,Neither,Tie -1,-1.0,6.5,
70,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers -4.5,-4.5,16.0,
71,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Away,Florida Panthers +4.5,4.5,1.02,
72,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers -3.5,-3.5,9.0,
73,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Away,Florida Panthers +3.5,3.5,1.0667,
74,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers -2.5,-2.5,4.3,
75,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Away,Florida Panthers +2.5,2.5,1.2,
76,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers +1.5,1.5,1.2353,
77,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Away,Florida Panthers -1.5,-1.5,4.0,
78,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers +2.5,2.5,1.1112,
79,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Away,Florida Panthers -2.5,-2.5,6.0,
80,Florida Panthers(away) vs Edmonton Oilers(home),NHL,Pick Your Own Line,,Home,Edmonton Oilers +3.5,3.5,1.0334,
